link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,free_speed_raw,lanes,capacity,allowed_uses,toll,notes
0,North Scottsdale Road,5589756,0,1,1,"LINESTRING (-111.9262877 33.4312176, -111.9262831 33.4326057, -111.9262763 33.43289, -111.9262698 33.4335976)",1,264.65,primary,3,56,35 mph,3,5400,auto,,
22,North Scottsdale Road,28752533,0,29,1,"LINESTRING (-111.9262877 33.4312176, -111.926289 33.4298413)",1,153.04,primary,3,56,35 mph,3,5400,auto,,
1,North Scottsdale Road,5589756,1,0,1,"LINESTRING (-111.9262698 33.4335976, -111.9262763 33.43289, -111.9262831 33.4326057, -111.9262877 33.4312176)",1,264.65,primary,3,56,35 mph,3,5400,auto,,
138,East Apache Boulevard,436790483,3,163,1,"LINESTRING (-111.9370216 33.4146084, -111.9368695 33.4146039, -111.9366104 33.4145994)",1,38.18,primary,3,80,,3,5400,auto,,
501,South Mill Avenue,533573780,5,191,1,"LINESTRING (-111.9400474 33.4204936, -111.9400454 33.4204161, -111.9400338 33.4194368)",1,117.52,primary,3,48,30 mph,3,5400,auto,,
4,East University Drive,5614812,6,7,1,"LINESTRING (-111.9366614 33.4219091, -111.936563 33.4219081, -111.9358451 33.4219117, -111.9356492 33.4219101, -111.9350652 33.421917, -111.9349692 33.4219161)",1,157.06,secondary,4,56,35 mph,2,3200,auto,,
560,East University Drive,889439250,7,398,1,"LINESTRING (-111.9349692 33.4219161, -111.9348817 33.4219166, -111.9339885 33.4219235)",1,91.02,secondary,4,56,35 mph,2,3200,auto,,
5,East University Drive,5614812,8,6,1,"LINESTRING (-111.9381462 33.4218977, -111.93806 33.4218977, -111.936756 33.4219096, -111.9366614 33.4219091)",1,137.81,secondary,4,56,35 mph,2,3200,auto,,
6,West Broadway Road,5634388,9,10,1,"LINESTRING (-111.9405939 33.4074032, -111.9407309 33.407404, -111.9411443 33.4074008, -111.9419779 33.4073972, -111.9429557 33.4073853, -111.9433255 33.4073787)",1,253.58,secondary,4,60,,2,3200,auto,,
516,West Broadway Road,597312446,9,283,1,"LINESTRING (-111.9405939 33.4074032, -111.9401355 33.4074051)",1,42.55,secondary,4,60,,5,8000,auto,,
